W A t 6 b Q t D 6 b l a k s	WAt 6bQt D6 blaks	what about the blocks
W A t 6 b Q t D 6 b l a k s	WAt 6bQt D6 blaks	what about the blocks
p i k 6 b u	pik6bu	peekaboo
y u k & n t g E t m i k & n y u	yu k&nt gEt mi k&n yu	you can't get me can you
p i k 6 b u	pik6bu	peekaboo
y u	yu	you
G A s t g 6 n 6 i t D 6 k o m & n d D & t s O l	GAst g6n6 it D6 kom &nd D&ts Ol	just gonna eat the comb and that's all
h (	h(	here
W A t s D & t	WAts D&t	what's that
6 d O g i	6 dOgi	a doggie
o p ~	op~	open
D * # s o m E n i t 7 z	D* # so mEni t7z	there are so many toys
m a m 6 t u m E n i t 7 z	mam6 tu mEni t7z	mama too many toys
o k e	oke	okay
w A z D & t g U d	wAz D&t gUd	was that good
d u D i z s k w i k	du Diz skwik	do these squeak
n o	no	no
D *	D*	there
b I l d D E m A p	bIld DEm Ap	build them up
o k e	oke	okay
W A t	WAt	what
t e k D E m d Q n	tek DEm dQn	take them down
W A t	WAt	what
y &	y&	yeah
W * z d & d i	W*z d&di	where's daddy
d & d i n a t h (	d&di nat h(	daddy not here
d & d i z n a t h (	d&diz nat h(	daddy's not here
p r I t i p r I t i	prIti prIti	pretty pretty
h (	h(	here
W A t	WAt	what
d & d i	d&di	daddy
W * d I d I t g o	W* dId It go	where did it go
y u w a n t D & t w A n	yu want D&t wAn	you want that one
d & d i	d&di	daddy
9 l g o g E t y ) b l a k	9l go gEt y) blak	i'll go get your block
D I s I z 6 b l a k	DIs Iz 6 blak	this is a block
s e	se	say
m a m i	mami	mommy
b l a k	blak	block
h (	h(	here
o k e	oke	okay
n Q W A t	nQ WAt	now what
& l I s	&lIs	alice
r E d i	rEdi	ready
I z D I s 6 b l a k	Iz DIs 6 blak	is this a block
W A t	WAt	what
o k e	oke	okay
h I t D 6 b l a k s	hIt D6 blaks	hit the blocks
g U d	gUd	good
w e t 6 s E k ~ d	wet 6 sEk~d	wait a second
l E t m i g E t D I s	lEt mi gEt DIs	let me get this
y ) 6 m A N k i	y) 6 mANki	you're a monkey
o k e	oke	okay
n Q w e t	nQ wet	now wait
l E t m i g E t D E m b I l t A p	lEt mi gEt DEm bIlt Ap	let me get them built up
& l I s	&lIs	alice
b l a k	blak	block
b l a k	blak	block
g E t D 6 b l a k	gEt D6 blak	get the block
s e m a m 6	se mam6	say mama
g E t D 6 b l a k	gEt D6 blak	get the block
g o w 9 l d & l I s	go w9ld &lIs	go wild alice
o k e	oke	okay
o k e	oke	okay
W A t s D & t & l I s	WAts D&t &lIs	what's that alice
W A t s D & t 6 b l a k	WAts D&t 6 blak	what's that a block
D & t	D&t	that
D & t s 6 t E l 6 f o n	D&ts 6 tEl6fon	that's a telephone
D & t s D 6 f o n	D&ts D6 fon	that's the phone
s e	se	say
h E l o	hElo	hello
y u w a n t t u s p i k t u & l I s	yu want tu spik tu &lIs	you want to speak to alice
s e h E l o	se hElo	say hello
W A t s	WAts	what's
y u h & v t u t E l m i	yu h&v tu tEl mi	you have to tell me
b l a k	blak	block
y u w a n t D 6 b l a k s	yu want D6 blaks	you want the blocks
s e b l a k	se blak	say block
k & n y u	k&n yu	can you
b l a k	blak	block
y & D & t	y& D&t	yeah that
d & d i D I s I z 6 d & d i	d&di DIs Iz 6 d&di	daddy this is a daddy
o k e	oke	okay
d & d i	d&di	daddy
o k e	oke	okay
o k e	oke	okay
s e b l a k	se blak	say block
s e T & N k y u f % 6 b l a k	se T&Nk yu f% 6 blak	say thank you for a block
l E t m i S o y u s A m T I N	lEt mi So yu sAmTIN	let me show you something
l U k	lUk	look
k & n y u b r A S D 6 d O g i z h *	k&n yu brAS D6 dOgiz h*	can you brush the doggie's hair
l U k h Q s O f t	lUk hQ sOft	look how soft
k & n y u d u D & t	k&n yu du D&t	can you do that
w a n t t u	want tu	want to
h (	h(	here
I z 6 b r A S	Iz 6 brAS	is a brush
b r A S & l I s I z h *	brAS &lIsIz h*	brush alice's hair
I z D & t W A t 6 d O g i s E z	Iz D&t WAt 6 dOgi sEz	is that what a doggie says
r I m E m b R W E n S i n 6 s E z	rImEmbR WEn Sin6 sEz	remember when shena says
W A t 6 s O f t (	WAt 6 sOft (	what a soft ear
f i l	fil	feel
W A t s D & t	WAts D&t	what's that
h E l o	hElo	hello
y E s D & t s r 9 t	yEs D&ts r9t	yes that's right
D & t s 6 g U d g 3 l	D&ts 6 gUd g3l	that's a good girl
w A z I t d & d i	wAz It d&di	was it daddy
& n s R D 6 f o n	&nsR D6 fon	answer the phone
& n s R D 6 f o n	&nsR D6 fon	answer the phone
h 9	h9	hi
h 9	h9	hi
D & t s W A t l % ~ s E z a n D 6	D&ts WAt l%~ sEz an D6	that's what loren says on the
h 9	h9	hi
h u z D & t	huz D&t	who's that
I z h i s w i t	Iz hi swit	is he sweet
k I s I z a n y ) f e s	kIsIz an y) fes	kisses on your face
d u y u s i s A m T I N y u w a n t	du yu si sAmTIN yu want	do you see something you want
W A t	WAt	what
W A t d u y u w a n t	WAt du yu want	what do you want
D I s	DIs	this
D 6 b 7	D6 b7	the boy
D & t	D&t	that
o k e	oke	okay
W A t 6 n 9 s h A g f % D 6 b e b i	WAt 6 n9s hAg f% D6 bebi	what a nice hug for the baby
f O l d Q n	fOl dQn	fall down
d u y u w a n t D I s	du yu want DIs	do you want this
6 n 9 s k I s	6 n9s kIs	a nice kiss
T I N k y u k 6 d b r A S D 6 d a l i z h * t u	TINk yu k6d brAS D6 daliz h* tu	think you could brush the dolly's hair too
s l i p i	slipi	sleepy
l U k y u k 6 d b r A S D 6 d a l i z h * t u	lUk yu k6d brAS D6 daliz h* tu	look you could brush the dolly's hair too
% y ) o n h *	% y) on h*	or your own hair
d u y u w a n t t u l U k & t D 6 b U k 6 g E n	du yu want tu lUk &t D6 bUk 6gEn	do you want to look at the book again
y u l U k & t I t	yu lUk &t It	you look at it
I t s m E l z g U d t u	It smElz gUd tu	it smells good too
l U k & l I s	lUk &lIs	look alice
l U k	lUk	look
p i k 6 b u	pik6bu	peekaboo
p i k 6 b u	pik6bu	peekaboo
p i k 6 b u	pik6bu	peekaboo
k & n y u d u D & t	k&n yu du D&t	can you do that
D * z W A t s m E l z g U d	D*z WAt smElz gUd	there's what smells good
l U k s m E l	lUk smEl	look smell
s m E l g U d	smEl gUd	smell good
D & t s 6 w I k I d l & f y u m A N k i	D&ts 6 wIkId l&f yu mANki	that's a wicked laugh you monkey
l U k h ( z s A m T I N t u t A c	lUk h(z sAmTIN tu tAc	look here's something to touch
f i l D & t	fil D&t	feel that
W A t s D & t	WAts D&t	what's that
D & t s t u s i y ) s E l f	D&ts tu si y)sElf	that's to see yourself
l U k D * y u #	lUk D* yu #	look there you are
D * z D 6 b e b i	D*z D6 bebi	there's the baby
g I v & l I s 6 k I s	gIv &lIs 6 kIs	give alice a kiss
y &	y&	yeah
o k e	oke	okay
# y u l I k I N I t	# yu lIkIN It	are you licking it
y E s	yEs	yes
y E s	yEs	yes
d A z D & t f i l g U d t u y ) t A N	dAz D&t fil gUd tu y) tAN	does that feel good to your tongue
h (	h(	here
I t s o k e	Its oke	it's okay
D & t & l I s I n D 6 p I k c R	D&t &lIs In D6 pIkcR	that alice in the picture
g a t y ) f I N g R z	gat y) fINgRz	got your fingers
t I k L m i	tIkL mi	tickle me
t I k L m i	tIkL mi	tickle me
t I k L t I k L t I k L	tIkL tIkL tIkL	tickle tickle tickle
W A t s D & t	WAts D&t	what's that
D i z # d & d i z	Diz # d&diz	these are daddy's
& l I s m a m i n a k t D E m d Q n	&lIs mami nakt DEm dQn	alice mommy knocked them down
g 6 n 6 d u	g6n6 du	gonna do
D *	D*	there
y u l 9 k D 6 b l a k s	yu l9k D6 blaks	you like the blocks
s e b l a k s	se blaks	say blocks
W A t s D I s & l I s	WAts DIs &lIs	what's this alice
6 b l a k 6 b l a k	6 blak 6 blak	a block a block
l U k & t D & t d a l i	lUk &t D&t dali	look at that dolly
W A t d u y u T I N k 6 v D & t d a l i	WAt du yu TINk 6v D&t dali	what do you think of that dolly
& l I s k A m h (	&lIs kAm h(	alice come here
6 b E t R w A n	6 bEtR wAn	a better one
w A n D & t w I l f l & p	wAn D&t wIl fl&p	one that will flap
I n D 6 b r i z	In D6 briz	in the breeze
k A m h ( 9 w a n t y u t u s I t A p h ( f % G A s t 6	kAm h( 9 want yu tu sIt Ap h( f% GAst 6	come here i want you to sit up here for just a
m I n I t	mInIt	minute
9 w a n t t u S o y u s A m T I N	9 want tu So yu sAmTIN	i want to show you something
l U k	lUk	look
d u y u r I m E m b R D I s	du yu rImEmbR DIs	do you remember this
h ( z 6 p A p I t	h(z 6 pApIt	here's a puppet
h E l o & l I s	hElo &lIs	hello alice
h Q # y u	hQ # yu	how are you
w a n 6 p E t m i	wan6 pEt mi	wanna pet me
y u d o n t l 9 k I t	yu dont l9k It	you don't like it
o k e	oke	okay
k O l d & d i a n D 6 t E l 6 f o n	kOl d&di an D6 tEl6fon	call daddy on the telephone
y u d u D & t	yu du D&t	you do that
D & t s r 9 t	D&ts r9t	that's right
n Q p I k A p D 6 t E l 6 f o n & n d s e h E l o	nQ pIk Ap D6 tEl6fon &nd se hElo	now pick up the telephone and say hello
h E l o d & d i	hElo d&di	hello daddy
y &	y&	yeah
g U d	gUd	good
W A t s D & t	WAts D&t	what's that
D & t s 6 l I t L t 7 d a l i	D&ts 6 lItL t7 dali	that's a little toy dolly
l U k h i z g a t 6 z I p R & l I s	lUk hiz gat 6 zIpR &lIs	look he's got a zipper alice
D * w i g o	D* wi go	there we go
k O l d & d i	kOl d&di	call daddy
o k e n Q l U k	oke nQ lUk	okay now look
D I s I z 6 z I p R	DIs Iz 6 zIpR	this is a zipper
D I s z I p R z 6 l I t L b I t h # d	DIs zIpRz 6 lItL bIt h#d	this zipper's a little bit hard
y u w a n 6 t r 9 I t	yu wan6 tr9 It	you wanna try it
y u t r 9 I t	yu tr9 It	you try it
y &	y&	yeah
n Q w a c D I s	nQ wac DIs	now watch this
k & n y u A n t 9 D I s	k&n yu Ant9 DIs	can you untie this
l U k & t	lUk &t	look at
m a m i z g 6 n 6 t 9 I t	mamiz g6n6 t9 It	mommy's gonna tie it
& n d y u A n t 9 I t	&nd yu Ant9 It	and you untie it
D & t s r 9 t	D&ts r9t	that's right
g o 6 h E d	go 6hEd	go ahead
p U l D I s w A n	pUl DIs wAn	pull this one
n o	no	no
n a t l 9 k D & t	nat l9k D&t	not like that
y u l 9 k D 6 t E l 6 f o n	yu l9k D6 tEl6fon	you like the telephone
W A t s D & t	WAts D&t	what's that
W A t s D & t	WAts D&t	what's that
D & t	D&t	that
D * y u g o	D* yu go	there you go
9 b E t y u k 6 d r & t L D & t t e b L 6 b Q t E n i w e 9 p U t y u	9 bEt yu k6d r&tL D&t tebL 6bQt Eni we 9 pUt yu	i bet you could rattle that table about any way i put you
y & y u g a t I t k I d o	y& yu gat It kIdo	yeah you got it kiddo
l E t s s I t A p h (	lEts sIt Ap h(	let's sit up here
n o I t d A z ~ t	no It dAz~t	no it doesn't
o k e y u s I t D * & n d 9 l p U t y ) S u z b & k a n	oke yu sIt D* &nd 9l pUt y) Suz b&k an	okay you sit there and i'll put your shoes back on
h 9 b e b i	h9 bebi	hi baby
g I v D 6 b e b i 6 k I s y u w a n t t u	gIv D6 bebi 6 kIs yu want tu	give the baby a kiss you want to
y u w a n 6 g E t t u D i z t 7 z d o n t y u	yu wan6 gEt tu Diz t7z dont yu	you wanna get to these toys don't you
l E t s g E t d Q n & n d g E t t u D i z t 7 z	lEts gEt dQn &nd gEt tu Diz t7z	let's get down and get to these toys
g o t u I t k I d	go tu It kId	go to it kid
l U k & l I s r I m E m b R	lUk &lIs rImEmbR	look alice remember
D I s	DIs	this
W A t s I n D *	WAts In D*	what's in there
W A t I z I t	WAt Iz It	what is it
y u n o 6 b Q t D & t	yu no 6bQt D&t	you know about that
W A t I z D & t	WAt Iz D&t	what is that
k & n y u p U l I t Q t	k&n yu pUl It Qt	can you pull it out
g E t I t	gEt It	get it
W A t I z I t	WAt Iz It	what is it
W A t s D & t	WAts D&t	what's that
W A t I z I t	WAt Iz It	what is it
k A m h ( I z I t 6 d O g i	kAm h( Iz It 6 dOgi	come here is it a doggie
W A t s 6 d O g i s e & l I s	WAts 6 dOgi se &lIs	what's a doggie say alice
W A t d A z D I s d O g i s e	WAt dAz DIs dOgi se	what does this doggie say
W A t E l s d A z h i s e	WAt Els dAz hi se	what else does he say
h ( z 6 b r A S f % h I z h *	h(z 6 brAS f% hIz h*	here's a brush for his hair
o k e	oke	okay
w a n t t u b r A S I t	want tu brAS It	want to brush it
l U k	lUk	look
k w & k	kw&k	quack
I z I t g U d t u i t O l r 9 t	Iz It gUd tu it Ol r9t	is it good to eat all right
g I v D 6 d O g i s 6 m	gIv D6 dOgi s6m	give the doggie some
b r A S h I m	brAS hIm	brush him
y & h i l l 9 k D & t	y& hil l9k D&t	yeah he'll like that
# y u n a t g o I N t u t O k & t O l	# yu nat goIN tu tOk &t Ol	are you not going to talk at all
9 T I N k S i s E d w A n w 3 d	9 TINk Si sEd wAn w3d	i think she said one word
k A m h (	kAm h(	come here
9 l t E l y u W A t	9l tEl yu WAt	i'll tell you what
l E t s l U k & t D I s b U k	lEts lUk &t DIs bUk	let's look at this book
l U k & t D 6 b U k	lUk &t D6 bUk	look at the book
D * z 6 b A n i I n D I s b U k	D*z 6 bAni In DIs bUk	there's a bunny in this book
n A T I N y u k & n r i l i t O k 6 b Q t D o	nATIN yu k&n rili tOk 6bQt Do	nothing you can really talk about though
t A c D I s l U k	tAc DIs lUk	touch this look
s i h Q I t I z	si hQ It Iz	see how it is
s O f t	sOft	soft
W * z D 6 b 7	W*z D6 b7	where's the boy
p i k 6 b u	pik6bu	peekaboo
y u d u I t	yu du It	you do it
y &	y&	yeah
p i k 6 b u b 7	pik6bu b7	peekaboo boy
W * I z h i	W* Iz hi	where is he
W * I z h i	W* Iz hi	where is he
p i k 6 b u	pik6bu	peekaboo
W A t E l s y u s i	WAt Els yu si	what else you see
l U k	lUk	look
6 b 7 & n d 6 g 3 l	6 b7 &nd 6 g3l	a boy and a girl
9 b E t y u k & n s m E l D I s s m E l	9 bEt yu k&n smEl DIs smEl	i bet you can smell this smell
w U d y u l U k	wUd yu lUk	would you look
l U k	lUk	look
D * z D 6 b e b i	D*z D6 bebi	there's the baby
d o n t s m E l D 6 b e b i	dont smEl D6 bebi	don't smell the baby
l U k & t D 6 b e b i	lUk &t D6 bebi	look at the baby
l U k & t	lUk &t	look at
D * z & l I s	D*z &lIs	there's alice
l E t s s i	lEts si	let's see
f i l D I s	fil DIs	feel this
n Q	nQ	now
W A t s D & t	WAts D&t	what's that
D & t b e b i	D&t bebi	that baby
D * z D 6 b A n i s l i p I N	D*z D6 bAni slipIN	there's the bunny sleeping
n 9 t n 9 t	n9t n9t	night night
d & d i	d&di	daddy
6 k I t i	6 kIti	a kitty
d u y u T I N k I t s 6 k I t i	du yu TINk Its 6 kIti	do you think it's a kitty
y u k & n T I N k I t s 6 k I t i	yu k&n TINk Its 6 kIti	you can think it's a kitty
I z D & t 6 k I t i	Iz D&t 6 kIti	is that a kitty
h ( k I t i k I t i s l i p I N k I t i	h( kIti kIti slipIN kIti	here kitty kitty sleeping kitty
l U k y u k & n s t I k y ) f I N g R I n D *	lUk yu k&n stIk y) fINgR In D*	look you can stick your finger in there
s t I k y ) f I N g R I n D & t h o l r 9 t	stIk y) fINgR In D&t hol r9t	stick your finger in that hole right
g U d g 3 l	gUd g3l	good girl
n Q l E t s s i W A t s D 6 b e b i s e I N	nQ lEts si WAts D6 bebi seIN	now let's see what's the baby saying
b 9 b 9 & l I s	b9 b9 &lIs	bye bye alice
b 9 b 9	b9 b9	bye bye
b 9 b 9	b9 b9	bye bye
& l I s	&lIs	alice
d O g i g a t 6 k I s f r 6 m y u	dOgi gat 6 kIs fr6m yu	doggie got a kiss from you
W A t d A z D 6 d O g i s e & l I s	WAt dAz D6 dOgi se &lIs	what does the doggie say alice
k A m h (	kAm h(	come here
h 9 & l I s h 9	h9 &lIs h9	hi alice hi
y u r i l i h e t D I s T I N d o n t y u	yu rili het DIs TIN dont yu	you really hate this thing don't you
W A t I z D I s	WAt Iz DIs	what is this
w a n 6	wan6	wanna
t A c I t	tAc It	touch it
w a n 6 p U l h I z t A N	wan6 pUl hIz tAN	wanna pull his tongue
w a n 6 k A m Q t	wan6 kAm Qt	wanna come out
l U k	lUk	look
y u k & n k l o z D 6 d % a n h I z h E d	yu k&n kloz D6 d% an hIz hEd	you can close the door on his head
S i r i l i h e t s I t	Si rili hets It	she really hates it
o k e O l r 9 t	oke Ol r9t	okay all right
I t s O l r 9 t	Its Ol r9t	it's all right
9 p U t I t 6 w e	9 pUt It 6we	i put it away
I t s O l g O n	Its Ol gOn	it's all gone
I t s O l g O n	Its Ol gOn	it's all gone
D & t s I n k r E d 6 b L	D&ts InkrEd6bL	that's incredible
9 d o n t n o W 9 S i h e t s I t s o m A c	9 dont no W9 Si hets It so mAc	i don't know why she hates it so much
l E t s p U t D 6 d O g i I n	lEts pUt D6 dOgi In	let's put the doggie in
g U d b 9	gUd b9	good bye
p i k 6 b u	pik6bu	peekaboo
W A t s I n D *	WAts In D*	what's in there
D * z 6 p a k I t	D*z 6 pakIt	there's a pocket
d & d i	d&di	daddy
% d O g i	% dOgi	or doggie
g a t y ) f I N g R z	gat y) fINgRz	got your fingers
t I k L m i	tIkL mi	tickle me
t I k L m i	tIkL mi	tickle me
t I k L t I k L t I k L	tIkL tIkL tIkL	tickle tickle tickle
W A t s D & t	WAts D&t	what's that
D i z # d & d i z	Diz # d&diz	these are daddy's
& l I s m a m i n a k t D E m d Q n	&lIs mami nakt DEm dQn	alice mommy knocked them down
g 6 n 6 d u	g6n6 du	gonna do
D *	D*	there
y u l 9 k D 6 b l a k s	yu l9k D6 blaks	you like the blocks
n o W A t	no WAt	no what
W * z # s I s t R & l I s	W*z # sIstR &lIs	where's our sister alice
W * d I d s I s i g o	W* dId sIsi go	where did sissy go
I z S i g o I N	Iz Si goIN	is she going
g o I N b 9 b 9	goIN b9 b9	going bye bye
y u p I k W I c t 7 y u l 9 k	yu pIk WIc t7 yu l9k	you pick which toy you like
o k e	oke	okay
9 n o y u l 9 k D 6 t E l 6 f o n	9 no yu l9k D6 tEl6fon	i know you like the telephone
& n d 9 T I N k y u l 9 k D 6 b l a k s	&nd 9 TINk yu l9k D6 blaks	and i think you like the blocks
D 6 d O g i	D6 dOgi	the doggie
9 g a t 6 n 9 d i 6	9 gat 6n 9di6	i got an idea
y ) I n t u d I s t r A k S ~ # n t y u & l I s	y) Intu dIstrAkS~ #nt yu &lIs	you're into destruction aren't you alice
h (	h(	here
W A t d u y u w a n t t u d u w I T D & t	WAt du yu want tu du wIT D&t	what do you want to do with that
n a k I t d Q n	nak It dQn	knock it down
9 n u I t	9 nu It	i knew it
W A t I z D & t	WAt Iz D&t	what is that
k & n y u s e b l a k	k&n yu se blak	can you say block
D & t s 6 b l a k	D&ts 6 blak	that's a block
9 g a t b l a k s & t h o m	9 gat blaks &t hom	i got blocks at home
o k e	oke	okay
y ) s o n A t s	y) so nAts	you're so nuts
W A t d u y u w a n t	WAt du yu want	what do you want
W * z D 6 d O g i	W*z D6 dOgi	where's the doggie
d Q n h (	dQn h(	down here
O l g O n	Ol gOn	all gone
W A t d u y u w a n t	WAt du yu want	what do you want
t E l m i	tEl mi	tell me
y ) g 6 n 6 f O l	y) g6n6 fOl	you're gonna fall
s I t d Q n	sIt dQn	sit down
s I t d Q n	sIt dQn	sit down
D & t s	D&ts	that's
y & D & t s 6 g U d g 3 l	y& D&ts 6 gUd g3l	yeah that's a good girl
W A t d u y u w a n t	WAt du yu want	what do you want
W A t d u y u w a n t	WAt du yu want	what do you want
t E l m a m i W A t y u w a n t	tEl mami WAt yu want	tell mommy what you want
& l I s W A t d u y u w a n t	&lIs WAt du yu want	alice what do you want
W A t s D & t	WAts D&t	what's that
d o n t t (	dont t(	don't tear
o k e W A t d u y u w a n t	oke WAt du yu want	okay what do you want
s I t d Q n	sIt dQn	sit down
s I t d Q n	sIt dQn	sit down
w E l y u S o m i W A t d u y u w a n t	wEl yu So mi WAt du yu want	well you show me what do you want
W A t d u y u w a n t	WAt du yu want	what do you want
y u k & n s t & n d D *	yu k&n st&nd D*	you can stand there
W A t d u y u w a n t	WAt du yu want	what do you want
W A t d u y u w a n t	WAt du yu want	what do you want
n o w e	no we	no way
